"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"78543011640","2020-05-10T00:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.07","70","80","0.00","","","","71","30.07","CLR:00","30.06","10.00","73","080","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09005/10/20 00:53:02 METAR TIST 100453Z 08009KT 10SM CLR 27/21 A3007 RMK AO2 SLP182 T02670211","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T01:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","70","80","0.00","","+0.05","6","71","30.06","CLR:00","30.05","10.00","73","080","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10805/10/20 01:53:02 METAR TIST 100553Z 08007KT 10SM CLR 27/21 A3006 RMK AO2 SLP178 T02670211 10278 20261 56016","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T02:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","80","","","+0.05","6","71","30.06","","","9.94","","080","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08078543 35966 00807 10267 20211 30098 40178 56016 90553 333 10283 20261 555 91006=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T02:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.04","70","80","0.00","","","","71","30.04","CLR:00","30.03","10.00","73","090","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09005/10/20 02:53:02 METAR TIST 100653Z 09008KT 10SM CLR 27/21 A3004 RMK AO2 SLP173 T02670211","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T03:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.04","70","80","0.00","","","","71","30.04","CLR:00","30.03","10.00","73","090","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09005/10/20 03:53:02 METAR TIST 100753Z 09011KT 10SM CLR 27/21 A3004 RMK AO2 SLP174 T02670211","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T04:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.05","68","80","0.00","","+0.01","5","67","30.05","CLR:00","30.04","10.00","72","100","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09605/10/20 04:53:02 METAR TIST 100853Z 10011KT 10SM CLR 27/20 A3005 RMK AO2 SLP176 T02670200 55002","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T05:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.07","69","80","0.00","","","","69","30.07","FEW:02 28","30.06","10.00","73","090","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09305/10/20 05:53:02 METAR TIST 100953Z 09011KT 10SM FEW028 27/21 A3007 RMK AO2 SLP184 T02670206","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T06:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.09","69","81","0.00","","","","67","30.09","SCT:04 29 BKN:07 37","30.08","10.00","73","090","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10505/10/20 06:53:02 METAR TIST 101053Z 09009KT 10SM SCT029 BKN037 27/21 A3009 RMK AO2 SLP190 T02720206 (DR)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T07:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.10","68","83","0.00","","-0.05","1","61","30.10","SCT:04 29 BKN:07 37","30.09","10.00","73","110","25","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12605/10/20 07:53:02 METAR TIST 101153Z 11017G22KT 10SM SCT029 BKN037 28/20 A3010 RMK AO2 SLP194 T02830200 10289 20261 51017 (DR)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T08:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","83","","","-0.05","1","61","30.10","26","","9.94","","110","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08678543 32566 61117 10283 20200 30112 40194 51017 91153 333 10306 20261 91022 555 91012=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T08:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.11","69","84","0.00","","","","61","30.11","CLR:00","30.10","10.00","74","120","24","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09805/10/20 08:53:02 METAR TIST 101253Z 12015G21KT 10SM CLR 29/21 A3011 RMK AO2 SLP198 T02890206 (DR)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T09:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.11","68","85","0.00","","","","57","30.11","FEW:02 37","30.10","10.00","74","120","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09805/10/20 09:53:02 METAR TIST 101353Z 12014KT 10SM FEW037 29/20 A3011 RMK AO2 SLP197 T02940200 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-10T10:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.11","68","87","0.00","","-0.01","0","53","30.11","FEW:02 37","30.10","10.00","74","120","24","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10705/10/20 10:53:02 METAR TIST 101453Z 12017G21KT 10SM FEW037 31/20 A3011 RMK AO2 SLP195 T03060200 50002 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
