"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"78543011640","2020-05-01T00:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.03","71","77","0.00","","","","82","30.03","CLR:00","30.02","10.00","73","080","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09005/01/20 00:53:02 METAR TIST 010453Z 08007KT 10SM CLR 25/22 A3003 RMK AO2 SLP170 T02500217","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T01:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.02","71","77","0.00","","+0.04","8","82","30.02","CLR:00","30.01","10.00","73","080","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11405/01/20 01:53:02 METAR TIST 010553Z 08007KT 10SM CLR 25/22 A3002 RMK AO2 SLP166 60007 T02500217 10261 20244 58012","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T02:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","77","","","+0.04","8","82","30.02","","","9.94","","080","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08678543 15966 00807 10250 20217 30085 40166 58012 60021 90553 333 10306 20244 555 90106=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T02:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.01","71","78","0.00","","","","79","30.01","FEW:02 23","30.00","10.00","73","080","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09305/01/20 02:53:02 METAR TIST 010653Z 08007KT 10SM FEW023 26/22 A3001 RMK AO2 SLP163 T02560217","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T03:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.01","71","78","0.00","","","","79","30.01","FEW:02 25","30.00","10.00","73","080","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09305/01/20 03:53:02 METAR TIST 010753Z 08007KT 10SM FEW025 26/22 A3001 RMK AO2 SLP164 T02560217","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T04:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.02","72","78","0.00","","-0.01","3","82","30.02","BKN:07 70","30.01","10.00","74","080","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09905/01/20 04:53:02 METAR TIST 010853Z 08009KT 10SM BKN070 26/22 A3002 RMK AO2 SLP167 T02560222 53002","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T05:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.04","70","80","0.00","","","","71","30.04","CLR:00","30.03","10.00","73","110","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09005/01/20 05:53:02 METAR TIST 010953Z 11010KT 10SM CLR 27/21 A3004 RMK AO2 SLP174 T02670211","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T06:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","71","80","0.00","","","","74","30.06","SCT:04 29","30.05","10.00","74","110","23","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10105/01/20 06:53:02 METAR TIST 011053Z 11009G20KT 10SM SCT029 27/22 A3006 RMK AO2 SLP179 T02670217 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T07:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.07","71","82","0.00","","-0.04","1","69","30.07","FEW:02 24","30.06","10.00","75","110","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12205/01/20 07:53:02 METAR TIST 011153Z 11013KT 10SM FEW024 28/22 A3007 RMK AO2 SLP182 70021 T02780217 10278 20250 51015 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T08:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","82","","","-0.04","1","69","30.07","26","","9.94","","110","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08678543 32566 21113 10278 20217 30102 40182 51015 91153 333 10306 20244 70053 555 90112=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T08:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.08","71","83","0.00","","","","67","30.08","FEW:02 27","30.07","10.00","75","110","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09805/01/20 08:53:02 METAR TIST 011253Z 11016KT 10SM FEW027 28/22 A3008 RMK AO2 SLP186 T02830217 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T09:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.08","71","85","0.00","","","","63","30.09","FEW:02 35","30.07","10.00","75","120","24","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10105/01/20 09:53:02 METAR TIST 011353Z 12016G21KT 10SM FEW035 29/22 A3008 RMK AO2 SLP188 T02940217 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T10:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.08","72","85","0.00","","-0.02","1","65","30.09","FEW:02 28","30.07","10.00","76","120","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10405/01/20 10:53:02 METAR TIST 011453Z 12013KT 10SM FEW028 29/22 A3008 RMK AO2 SLP188 T02940222 51006 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T11:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.07","71","85","0.00","","","","63","30.07","FEW:02 30","30.06","10.00","75","120","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09805/01/20 11:53:02 METAR TIST 011553Z 12015KT 10SM FEW030 29/22 A3007 RMK AO2 SLP184 T02940217 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T12:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","71","86","0.00","","","","61","30.06","CLR:00","30.05","10.00","76","120","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09505/01/20 12:53:02 METAR TIST 011653Z 12013KT 10SM CLR 30/22 A3006 RMK AO2 SLP180 T03000217 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T13:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.04","72","86","0.00","","+0.05","8","63","30.04","CLR:00","30.03","10.00","76","130","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11305/01/20 13:53:02 METAR TIST 011753Z 13013KT 10SM CLR 30/22 A3004 RMK AO2 SLP172 T03000222 10306 20278 58016 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T14:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","86","","","+0.05","8","63","30.04","","","9.94","","130","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08078543 32966 01313 10300 20222 30092 40172 58016 91753 333 10306 20244 555 90118=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T14:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.02","72","85","0.00","","","","65","30.02","FEW:02 70","30.01","10.00","76","130","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09805/01/20 14:53:02 METAR TIST 011853Z 13012KT 10SM FEW070 29/22 A3002 RMK AO2 SLP166 T02940222 (SS)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T15:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.01","72","85","0.00","","","","65","30.01","CLR:00","30.00","10.00","76","130","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09005/01/20 15:53:02 METAR TIST 011953Z 13013KT 10SM CLR 29/22 A3001 RMK AO2 SLP163 T02940222","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T16:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.01","70","84","0.00","","+0.03","6","63","30.01","FEW:02 35","30.00","10.00","74","130","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10405/01/20 16:53:02 METAR TIST 012053Z 13013KT 10SM FEW035 29/21 A3001 RMK AO2 SLP161 T02890211 56011 (ND)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T17:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.02","68","84","0.00","","","","59","30.02","FEW:02 35","30.01","10.00","73","110","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09805/01/20 17:53:02 METAR TIST 012153Z 11011KT 10SM FEW035 29/20 A3002 RMK AO2 SLP167 T02890200 (ND)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T18:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.04","71","82","0.00","","","","69","30.03","FEW:02 35","30.03","10.00","75","100","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09805/01/20 18:53:02 METAR TIST 012253Z 10010KT 10SM FEW035 28/22 A3004 RMK AO2 SLP171 T02780217 (ND)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T19:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.05","70","81","0.00","","-0.04","1","69","30.05","CLR:00","30.04","10.00","74","090","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11305/01/20 19:53:02 METAR TIST 012353Z 09010KT 10SM CLR 27/21 A3005 RMK AO2 SLP176 T02720211 10300 20272 51015 (ND)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T20:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","81","","","-0.04","1","69","30.05","","","9.94","","090","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08078543 32966 00910 10272 20211 30095 40176 51015 92353 333 10306 20250 555 90200=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T20:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.07","72","81","0.00","","","","74","30.06","CLR:00","30.06","10.00","75","100","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09005/01/20 20:53:01 METAR TIST 020053Z 10009KT 10SM CLR 27/22 A3007 RMK AO2 SLP181 T02720222","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
"78543011640","2020-05-01T21:53:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.08","72","80","0.00","","","","76","30.08","BKN:07 60","30.07","10.00","75","080","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09305/01/20 21:53:01 METAR TIST 020153Z 08009KT 10SM BKN060 27/22 A3008 RMK AO2 SLP187 T02670222","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-08-10"
